,attr_MedInc,attr_HouseAge,attr_AveRooms,attr_AveBedrms,attr_Population,attr_AveOccup,attr_Latitude,attr_Longitude,observed,predicted,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4225183,0.5686275,0.036693826,0.024483271,0.0177135,0.0010702892,0.11170213,0.64641434
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09752742946147919,0.0,0.09250907,0.5294118,0.0297442,0.024634456,0.023234956,0.0017839288,0.6968085,0.27689242
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37319639325141907,0.0,0.24245873,0.5294118,0.026944244,0.020727178,0.06516438,0.0017000176,0.13723405,0.6294821
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4997938275337219,0.0,0.16582529,1.0,0.025223693,0.021181589,0.04176126,0.0009560645,0.5648936,0.20816733
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4443301260471344,0.0,0.31504393,0.3529412,0.036108006,0.02390282,0.045741193,0.0017114016,0.16595745,0.6663347
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20350638031959534,0.0,0.17529413,0.78431374,0.036601633,0.023801075,0.033661257,0.0024425772,0.14148936,0.60956174
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.41049778,0.29411766,0.05029936,0.026118364,0.041649148,0.0012393572,0.17446809,0.5099602
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11216654628515244,0.0,0.053219955,0.3529412,0.018656557,0.021850158,0.12990835,0.0022386592,0.4531915,0.45717132
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4715465009212494,0.0,0.2806513,0.5882353,0.03727961,0.019191543,0.035959527,0.0016589181,0.06489362,0.6982072
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10701192915439606,0.0,0.14483249,0.8235294,0.02756734,0.02610534,0.020544298,0.0021976968,0.16702127,0.70219123
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67740446,0.60784316,0.049571093,0.020329813,0.05874604,0.0017504481,0.56914896,0.22011952
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45340225100517273,0.0,0.33716777,0.627451,0.037094977,0.021045167,0.03436195,0.0019594708,0.13936171,0.62151396
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29979464411735535,0.0,0.10240548,0.7254902,0.02114246,0.023715414,0.042938422,0.0017957735,0.13297872,0.61354584
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513814389705658,0.0,0.36487773,0.37254903,0.039429966,0.018773919,0.09770453,0.0016730007,0.54468083,0.2569721
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428864359855652,0.0,0.4114771,0.3137255,0.042639073,0.018534977,0.030073714,0.0020047014,0.49787235,0.25298804
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30845439434051514,0.0,0.27318245,0.39215687,0.038491752,0.02075762,0.12065921,0.002028116,0.16808511,0.6713147
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40536120533943176,0.0,0.21121088,0.8235294,0.034036316,0.021204513,0.029457103,0.0020209695,0.16595745,0.6314741
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1138160228729248,0.0,0.15948746,0.5686275,0.03598865,0.020956574,0.020824574,0.0014574185,0.40425533,0.4691235
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494843125343323,0.0,0.18642502,1.0,0.032832567,0.022122588,0.025421117,0.0012645437,0.5638298,0.20816733
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33195945620536804,0.0,0.21199708,0.8627451,0.036905013,0.020766428,0.027046721,0.0014714834,0.55531913,0.21812749
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795885503292084,0.0,0.21013503,0.6862745,0.024368357,0.021583108,0.043022506,0.0030618403,0.15531915,0.62350595
